url,data,name
thunder://QUFlZDJrOi8vfGZpbGV8JUU2JTk4JTlGJUU4JUFGJUFEJUU1JUJGJTgzJUU2JTg0JUJGJUU0JUI5JThCJUU1JTg2JThEJUU3JTg4JUIxLjcyMHAuSEQlRTUlOUIlQkQlRTglQUYlQUQlRTQlQjglQUQlRTUlQUQlOTclRTMlODAlOTA2diVFNyU5NCVCNSVFNSVCRCVCMXd3dy42dmhhby5uZXQlRTMlODAlOTEubWt2fDEwMTI5NDQ2NDh8MTUxMDJEMURFODQ1Nzc2NEY2QTE2MUU0RTJCOUJERjV8aD00Uk1PQVRQVU5DUVBJQUtINU9CTTdMVzNMT1FOTk1YT3wvWlo=,2015-10-31,2015爱情剧情《星语心愿之再爱》720p.HD国语中字
ed2k://|file|%E9%BE%99%E9%97%A8%E5%AE%A2%E6%A0%88.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|2437345068|B6CBF9F4ECDB7C899DB6F7DB75513A4B|h=3UETFLEHOXEYAUK6W552FGTXJSRDZ46A|/,2015-11-03,经典动作《龙门客栈》720p.BD国语中字
ed2k://|file|%E8%AD%A6%E5%AF%9F%E6%95%85%E4%BA%8B4%E4%B9%8B%E7%AE%80%E5%8D%95%E4%BB%BB%E5%8A%A1.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E7%B2%A4%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|1898171816|78154BB103C762DA809D829C09F8971D|h=ZWZK4GKBJ5KDZJX7MFZN5WPWF3SJW7MM|/,2015-11-04,经典动作剧情《警察故事4：简单任务》720p.国粤双语.BD中字
ed2k://|file|%E7%BB%B4%E5%A4%9A%E5%88%A9%E4%BA%9A%E5%A3%B9%E5%8F%B7.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E7%B2%A4%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|2158019266|78FB31E16B23E1BB558E57A145A4E75A|h=B7KGNJKAOQQZDEZVIQD6YGFPJJK23VA2|/,2015-10-30,经典恐怖惊悚《维多利亚一号》720p.国粤双语.BD中字
thunder://QUFlZDJrOi8vfGZpbGV8JUU1JUIwJThGJUU3JThFJThCJUU1JUFEJTkwLlRDJUU1JTlCJUJEJUU4JUFGJUFEJUU2JTk3JUEwJUU1JUFEJTk3JUUzJTgwJTkwNnYlRTclOTQlQjUlRTUlQkQlQjF3d3cuNnZoYW8ubmV0JUUzJTgwJTkxLm1rdnwxMTI4ODQwNzM5fDhDODBCNDkzRDVGMjFFMzM2Q0QyNkM3QzZDRUMyNTdBfGg9RUFTNDY1S0xWVlNSSUdKVksyR1lFQ0JSTllFNVNZR018L1pa ,2015-10-31,2015高分动画《小王子》TC国语
ed2k://|file|%E7%9C%9F%E4%BA%BA%E6%B8%B8%E6%88%8F.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%8B%B1%E5%8F%8C%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4|2096403729|AE223A067A4DAE75536EF0823F2FD212|h=7LGSXTALMBOVKMLZYKRKTNVC33YYPDPK|/,2009-12-01,美国动作科幻《真人游戏》720p.国英双语.BD中英双字
ed2k://|file|%E5%85%A8%E6%B0%91%E5%85%AC%E6%95%8C.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%8B%B1%E5%8F%8C%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4|3033612118|C42764308B6356E8EF0C38A0FEC821AE|h=2FALHOXBLLC4XKHLOSKXF7YRHU6GMA65|/,2012-10-01,经典动作惊悚《国家公敌》720p.国英双语.BD中英双字
ed2k://|file|%E6%94%BB%E5%A3%B3%E6%9C%BA%E5%8A%A8%E9%98%9F.%E6%96%B0%E5%89%A7%E5%9C%BA%E7%89%88.BD1280%E8%B6%85%E6%B8%85%E6%97%A5%E7%B2%A4%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|2132349740|6282EAB39C9184C51ACF2828A382BDBB|h=CMRBIUAPCI5B6DQSG242CPWC62QP6M2W|/,2015-10-31,2015动画《攻壳机动队.新剧场版》720p.BD中字
http://www.66ys.tv/xijupian/20151031/31317.html,2015-10-08,2015喜剧剧情《港囧》清晰TC国语中字
thunder://QUFlZDJrOi8vfGZpbGV8JUU3JThFJThCJUU1JUFEJTkwJUU0JUI4JThFMTA4JUU3JTg1JTlFLkhEMTI4MCVFOSVBQiU5OCVFNiVCOCU4NSVFNSU5QiVCRCVFOCVBRiVBRCVFNCVCOCVBRCVFNSVBRCU5Ny5tcDR8MTA0Mzk0NzA1MXxBRUVGNTk2NzhGRTIxOEZEN0JEQjQzMEYyQTE3RjVEQ3xoPVlJN1NGSTRLTlVFQUtOQk9CN0VUUE9IVENQS01JS1hMfC9aWg==,2015-10-31,2015动画《王子与108煞》720p.HD国语中字
